Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
1,3,40.0,1,4,0,1,3,40.0,0,40.0,0
0,4,73.0,1,2,1,1,0,73.0,0,73.0,0
1,6,27.0,1,10,1,1,0,27.0,0,27.0,0
0,3,37.0,1,2,1,1,0,37.0,0,37.0,0
1,6,24.0,2,6,1,1,0,24.0,0,24.0,0
0,6,54.0,3,1,0,1,0,54.0,0,54.0,0
0,3,26.0,0,0,0,0,3,26.0,0,26.0,0
0,6,37.0,1,1,0,1,0,37.0,1,37.0,1
0,7,26.0,1,2,1,1,0,26.0,0,26.0,0
1,6,42.0,3,4,0,1,0,42.0,1,42.0,0
0,6,46.0,1,1,0,1,0,46.0,1,46.0,0
0,3,17.0,1,1,0,1,0,17.0,1,17.0,0
0,6,43.0,1,1,0,1,0,43.0,0,43.0,0
0,2,27.0,2,0,0,0,6,27.0,0,27.0,0
0,6,34.0,0,0,0,0,0,34.0,0,34.0,0
0,9,31.0,1,2,1,1,0,31.0,0,31.0,0
0,6,46.0,1,2,1,1,0,46.0,1,46.0,1
0,7,22.0,1,2,1,1,0,22.0,0,22.0,0
0,6,59.0,1,0,0,0,1,59.0,0,59.0,0
0,3,32.0,0,0,0,0,0,32.0,0,32.0,0
1,3,22.0,2,3,0,0,0,22.0,0,22.0,0
0,9,32.0,1,1,0,1,2,32.0,0,32.0,0
0,3,20.0,2,4,0,1,0,20.0,0,20.0,0
0,7,28.0,2,0,0,0,0,28.0,0,28.0,0
1,7,40.0,2,4,0,1,0,40.0,0,40.0,0
0,6,35.0,1,1,0,1,0,35.0,0,35.0,0
1,7,42.0,0,6,1,1,3,42.0,0,42.0,0
0,6,39.0,1,0,0,0,0,39.0,0,39.0,0
1,3,48.0,1,3,0,0,0,48.0,0,48.0,0
0,6,32.0,1,0,0,0,0,32.0,0,32.0,0
0,3,29.0,1,3,0,0,0,29.0,1,29.0,0
0,6,52.0,1,1,0,1,0,52.0,0,52.0,0
0,7,49.0,1,0,0,0,0,49.0,0,49.0,0
0,4,23.0,0,0,0,0,0,23.0,0,23.0,0
0,3,47.0,2,1,0,1,0,47.0,0,47.0,0
1,7,32.0,3,3,0,0,0,32.0,0,32.0,0
0,5,27.0,0,2,1,1,0,27.0,0,27.0,0
0,3,29.0,2,0,0,0,0,29.0,1,29.0,1
0,6,51.0,1,0,0,0,0,51.0,1,51.0,0
0,6,37.0,0,7,1,0,0,37.0,0,37.0,0
0,3,27.0,1,1,0,1,0,27.0,0,27.0,0
1,3,29.0,0,6,1,1,0,29.0,0,29.0,0
0,2,32.0,2,0,0,0,0,32.0,0,32.0,0
0,6,49.0,0,2,1,1,0,49.0,0,49.0,0
0,3,35.0,0,0,0,0,0,35.0,0,35.0,0
0,3,34.0,0,1,0,1,0,34.0,0,34.0,0
